left;right;Category;Singular/Plural;N / M / F;weight;processor;processor_args;;;;;
ADJ_SPEED_SI_NOM;lahme;;s;m;1;generic_processor;speed_percentile_lt:15;;;;;
ADJ_SPEED_SI_M;lahmer;;s;m;1;generic_processor;speed_percentile_lt:15;;;;;
ADJ_SPEED_SI_N;lahmes;;s;n;1;generic_processor;speed_percentile_lt:15;;;;;
ADJ_SPEED_SI_F;lahme;;s;n;1;generic_processor;speed_percentile_lt:15;;;;;
ADJ_SPEED_PL;lahme;;p;p;1;generic_processor;speed_percentile_lt:15;;;;;
ADJ_SPEED_PL_NOM;lahmen;;p;p;1;generic_processor;speed_percentile_lt:15;;;;;
ADJ_SPEED_SI_NOM;sehr langsame;;;;1;generic_processor;speed_percentile_gt:5, speed_percentile_lt:25;;;;;
ADJ_SPEED_SI_M;sehr langsamer;;;;1;generic_processor;speed_percentile_gt:5, speed_percentile_lt:25;;;;;
ADJ_SPEED_SI_N;sehr langsames;;;;1;generic_processor;speed_percentile_gt:5, speed_percentile_lt:25;;;;;
ADJ_SPEED_SI_F;sehr langsame;;;;1;generic_processor;speed_percentile_gt:5, speed_percentile_lt:25;;;;;
ADJ_SPEED_PL;sehr langsame;;;;1;generic_processor;speed_percentile_gt:5, speed_percentile_lt:25;;;;;
ADJ_SPEED_PL_NOM;sehr langsamen;;;;1;generic_processor;speed_percentile_gt:5, speed_percentile_lt:25;;;;;
ADJ_SPEED_SI_NOM;langsame;;;;1;generic_processor;speed_percentile_gt:10, speed_percentile_lt:45;;;;;
ADJ_SPEED_SI_M;langsamer;;;;1;generic_processor;speed_percentile_gt:10, speed_percentile_lt:45;;;;;
ADJ_SPEED_SI_N;langsames;;;;1;generic_processor;speed_percentile_gt:10, speed_percentile_lt:45;;;;;
ADJ_SPEED_SI_F;langsame;;;;1;generic_processor;speed_percentile_gt:10, speed_percentile_lt:45;;;;;
ADJ_SPEED_PL;langsame;;;;1;generic_processor;speed_percentile_gt:10, speed_percentile_lt:45;;;;;
ADJ_SPEED_PL_NOM;langsamen;;;;1;generic_processor;speed_percentile_gt:10, speed_percentile_lt:45;;;;;
ADJ_SPEED_SI_NOM;flitzende;;;;1;generic_processor;speed_percentile_gt:65, speed_percentile_lt:100;;;;;
ADJ_SPEED_SI_M;flitzender;;;;1;generic_processor;speed_percentile_gt:65, speed_percentile_lt:100;;;;;
ADJ_SPEED_SI_M;flitzender;;;;1;generic_processor;speed_percentile_gt:65, speed_percentile_lt:100;;;;;
ADJ_SPEED_SI_F;flitzende;;;;1;generic_processor;speed_percentile_gt:65, speed_percentile_lt:100;;;;;
ADJ_SPEED_PL;flitzende;;;;1;generic_processor;speed_percentile_gt:65, speed_percentile_lt:100;;;;;
ADJ_SPEED_PL_NOM;flitzenden;;;;1;generic_processor;speed_percentile_gt:65, speed_percentile_lt:100;;;;;
ADJ_SPEED_SI_NOM;sehr schnelle;;;;1;generic_processor;speed_percentile_gt:60, speed_percentile_lt:100;;;;;
ADJ_SPEED_SI_M;sehr schneller;;;;1;generic_processor;speed_percentile_gt:60, speed_percentile_lt:100;;;;;
ADJ_SPEED_SI_N;sehr schnelles;;;;1;generic_processor;speed_percentile_gt:60, speed_percentile_lt:100;;;;;
ADJ_SPEED_SI_F;sehr schnelle;;;;1;generic_processor;speed_percentile_gt:60, speed_percentile_lt:100;;;;;
ADJ_SPEED_PL;sehr schnelle;;;;1;generic_processor;speed_percentile_gt:60, speed_percentile_lt:100;;;;;
